name,alt_name,company,state,municipality,fuel_bucket,technology,capacity_mw,commission_year,closure_year,lat,lon
Werkskraftwerk Sappi Ehingen,,Sappi Ehingen GmbH,Baden-Württemberg,Ehingen,natural_gas,Steam turbine,13.2,1990.0,,48.26698,9.72615
Werkskraftwerk Sappi Ehingen,,Sappi Ehingen GmbH,Baden-Württemberg,Ehingen,natural_gas,Steam turbine,8.0,1961.0,,48.26693,9.72626
Emden Gas,,Statkraft Markets GmbH,Niedersachsen,Emden,natural_gas,Gas turbine,52.0,1973.0,,53.34217,7.206239999999999
Heizkraftwerk Altbach/Deizisau,Altbach/Deizisau HKW 2,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Altbach,hard_coal,Steam turbine,433.0,1985.0,,48.717611,9.374917
Bergkamen,Bergkamen A,STEAG GmbH,Nordrhein-Westfalen,Bergkamen,hard_coal,Steam turbine,717.0,1981.0,,51.63702,7.6191
Reuter,,Vattenfall Wärme Berlin AG,Berlin,Berlin,hard_coal,Steam turbine,124.0,1969.0,2019.0,52.532146,13.246072
Moabit,Berlin-Moabit A,Vattenfall Wärme Berlin AG,Berlin,Berlin,hard_coal,Steam turbine,89.0,1990.0,,52.53735111,13.34611416
Reuter West,Berlin-Reuter-West D,Vattenfall Wärme Berlin AG,Berlin,Berlin,hard_coal,Steam turbine,282.0,1987.0,,52.53508792,13.24264526
Reuter West,Berlin-Reuter-West E,Vattenfall Wärme Berlin AG,Berlin,Berlin,hard_coal,Steam turbine,282.0,1988.0,,52.53508792,13.24264526
Kraftwerk Bexbach,Bexbach,STEAG GmbH,Saarland,Bexbach,hard_coal,Steam turbine,726.0,1983.0,,49.363481,7.237136
HKW-Mitte,Braunschweig-Mitte,Braunschweiger Versorgungs-AG & Co. KG,Niedersachsen,Braunschweig,hard_coal,Combined cycle,43.3,1984.0,,52.278611,10.514722
KW Hastedt,Bremen-Hastedt 15,swb Erzeugung AG & Co. KG,Bremen,Bremen,hard_coal,Steam turbine,119.0,1989.0,,53.060080000000006,8.873280000000001
KW Hafen,,swb Erzeugung GmbH & Co. KG,Bremen,Bremen,hard_coal,Steam turbine,127.0,1968.0,2016.0,53.12481999999999,8.72887
KW Hafen,"Bremen-Hafen 6, (Elfi)",swb Erzeugung AG & Co. KG,Bremen,Bremen,hard_coal,Steam turbine,303.0,1979.0,,53.124861,8.728657
Farge,Bremen-Farge,ENGIE Deutschland AG,Bremen,Bremen,hard_coal,Steam turbine,350.0,1969.0,,53.20206653,8.516153926
Datteln,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Datteln,hard_coal,Steam turbine,95.0,1964.0,2013.0,51.62952,7.331174000000001
Datteln,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Datteln,hard_coal,Steam turbine,95.0,1964.0,2013.0,51.62952,7.331174000000001
Datteln,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Datteln,hard_coal,Steam turbine,113.0,1969.0,2013.0,51.62952,7.331174000000001
Knepper,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Dortmund,hard_coal,Steam turbine,345.0,1971.0,2014.0,51.56846926,7.349182511
HKW I,,Stadtwerke Duisburg AG,Nordrhein-Westfalen,Duisburg,hard_coal,Steam turbine,95.0,1985.0,2018.0,51.429324,6.751983999999999
HKW II/B,,Stadtwerke Duisburg AG,Nordrhein-Westfalen,Duisburg,hard_coal,Steam turbine,133.0,1965.0,2012.0,51.429324,6.751983999999999
KW Walsum,,Steag GmbH,Nordrhein-Westfalen,Duisburg,hard_coal,Steam turbine,129.0,1959.0,2014.0,51.528611,6.711944
KW Walsum,Duisburg-Walsum 9,Steag GmbH,Nordrhein-Westfalen,Duisburg,hard_coal,Steam turbine,370.0,1988.0,,51.526720000000005,6.71868
Kraftwerk Ensdorf,,"VSE AG, Kraftwerk Ensdorf",Saarland,Ensdorf,hard_coal,Steam turbine,106.0,1963.0,2018.0,49.293248,6.770936999999999
HKW Erlangen,,Erlanger Stadtwerke AG,Bayern,Erlangen,hard_coal,Steam turbine,17.4,1982.0,,49.59283,11.00148
Heizkraftwerk FL,Flensburg K09 bis K12,Stadtwerke Flensburg GmbH,Schleswig-Holstein,Flensburg,hard_coal,Combined cycle,33.0,1989.0,,54.80495,9.43244
Heizkraftwerk FL,Flensburg K09 bis K12,Stadtwerke Flensburg GmbH,Schleswig-Holstein,Flensburg,hard_coal,Combined cycle,33.0,1985.0,,54.80495,9.43244
Heizkraftwerk FL,,Stadtwerke Flensburg GmbH,Schleswig-Holstein,Flensburg,hard_coal,Steam turbine,35.0,1982.0,2016.0,54.80495,9.43244
Heizkraftwerk FL,,Stadtwerke Flensburg GmbH,Schleswig-Holstein,Flensburg,hard_coal,Steam turbine,23.0,1978.0,2016.0,54.80495,9.43244
HKW West,Frankfurt-West 2 u. 3,Mainova AG,Hessen,Frankfurt am Main,hard_coal,Steam turbine,61.5,1988.0,,50.09843,8.65313
HKW West,Frankfurt-West 2 u. 3,Mainova AG,Hessen,Frankfurt am Main,hard_coal,Steam turbine,61.5,1989.0,,50.09843,8.65313
Scholven,Gelsenkirchen-Scholven C,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Gelsenkirchen,hard_coal,Steam turbine,345.0,1969.0,,51.60236802,7.009894096
Scholven,Gelsenkirchen-Scholven B,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Gelsenkirchen,hard_coal,Steam turbine,345.0,1968.0,,51.60236802,7.009894096
Scholven,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Gelsenkirchen,hard_coal,Steam turbine,345.0,1970.0,2014.0,51.60236802,7.009894096
Scholven,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Gelsenkirchen,hard_coal,Steam turbine,345.0,1971.0,2014.0,51.60236802,7.009894096
Scholven,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Gelsenkirchen,hard_coal,Steam turbine,676.0,1979.0,2014.0,51.60236802,7.009894096
FWK Buer,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Gelsenkirchen,hard_coal,Steam turbine,70.0,1985.0,,51.59696,7.004519999999999
Staudinger,,Uniper Kraftwerke GmbH ,Hessen,Großkrotzenburg,hard_coal,Steam turbine,249.0,1965.0,2013.0,50.088553000000005,8.953399000000001
Staudinger,,Uniper Kraftwerke GmbH ,Hessen,Großkrotzenburg,hard_coal,Steam turbine,293.0,1970.0,2012.0,50.088553000000005,8.953399000000001
Wedel,Wedel 2,Wärme Hamburg GmbH,Schleswig-Holstein,Wedel,hard_coal,Steam turbine,123.0,1962.0,,53.56695702,9.724445343
Wedel,Wedel 1,Wärme Hamburg GmbH,Schleswig-Holstein,Wedel,hard_coal,Steam turbine,137.0,1961.0,,53.56695702,9.724445343
Westfalen,,RWE Generation SE,Nordrhein-Westfalen,Hamm-Uentrop,hard_coal,Steam turbine,284.0,1969.0,2016.0,51.680278,7.969722
Westfalen,,RWE Generation SE,Nordrhein-Westfalen,Hamm-Uentrop,hard_coal,Steam turbine,152.0,1963.0,2011.0,51.67782,7.9742
Westfalen,,RWE Generation SE,Nordrhein-Westfalen,Hamm-Uentrop,hard_coal,Steam turbine,152.0,1963.0,2011.0,51.67782,7.9742
GKH,Hannover-Stöcken,enercity AG,Niedersachsen,Hannover,hard_coal,Steam turbine,136.0,1989.0,,52.42,9.648611
GKH,Hannover-Stöcken,enercity AG,Niedersachsen,Hannover,hard_coal,Steam turbine,136.0,1989.0,,52.42,9.648611
Heizkraftwerk Heilbronn,Heilbronn 5,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Heilbronn,hard_coal,Steam turbine,125.0,1965.0,,49.177334,9.206318
Heizkraftwerk Heilbronn,Heilbronn 6,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Heilbronn,hard_coal,Steam turbine,125.0,1966.0,,49.177334,9.206318
Heizkraftwerk Heilbronn,Heilbronn 7,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Heilbronn,hard_coal,Steam turbine,778.0,1985.0,,49.177334,9.206318
KW Herne,,Steag GmbH,Nordrhein-Westfalen,Herne,hard_coal,Steam turbine,133.0,1963.0,2014.0,51.550753,7.187481
Shamrock,,Uniper Kraftwerke GmbH ,Nordrhein-Westfalen,Herne,hard_coal,Steam turbine,132.0,1957.0,2013.0,51.52849121,7.17779686
KW Herne,,Steag GmbH,Nordrhein-Westfalen,Herne,hard_coal,Steam turbine,280.0,1966.0,2017.0,51.550753,7.187481
KW Herne,Herne 4,Steag GmbH,Nordrhein-Westfalen,Herne,hard_coal,Steam turbine,449.0,1989.0,,51.550753,7.187481
